15221;POLYGON((-49.364411 -20.684634, -49.130636 -20.684634, -49.130636 -20.53571, -49.364411 -20.53571, -49.364411 -20.684634))
15349;POLYGON((-37.409016 -7.356694, -37.304549 -7.356694, -37.304549 -7.228201, -37.409016 -7.228201, -37.409016 -7.356694))
15359;POLYGON((-49.913438 -21.740529, -49.633019 -21.740529, -49.633019 -21.362677, -49.913438 -21.362677, -49.913438 -21.740529))
15365;POLYGON((-37.588231 -9.332499, -37.228784 -9.332499, -37.228784 -9.1525, -37.588231 -9.1525, -37.588231 -9.332499))
15366;POLYGON((-42.664 -19.22744, -42.205552 -19.22744, -42.205552 -18.924206, -42.664 -18.924206, -42.664 -19.22744))
15367;POLYGON((-49.629525 -23.678984, -49.490086 -23.678984, -49.490086 -23.458233, -49.629525 -23.458233, -49.629525 -23.678984))
15368;POLYGON((-42.337636 -19.547098, -42.152786 -19.547098, -42.152786 -19.155744, -42.337636 -19.155744, -42.337636 -19.547098))
15369;POLYGON((-45.126083 -18.15251, -44.276417 -18.15251, -44.276417 -17.599695, -45.126083 -17.599695, -45.126083 -18.15251))
15370;POLYGON((-51.990625 1.31674, -50.527973 1.31674, -50.527973 1.896761, -51.990625 1.896761, -51.990625 1.31674))
15379;POLYGON((-46.635319 -2.413162, -46.211027 -2.413162, -46.211027 -1.608982, -46.635319 -1.608982, -46.635319 -2.413162))
15380;POLYGON((-44.666453 -5.173711, -44.484952 -5.173711, -44.484952 -4.857025, -44.666453 -4.857025, -44.666453 -5.173711))
15382;POLYGON((-51.456024 -18.357501, -51.113245 -18.357501, -51.113245 -18.084204, -51.456024 -18.084204, -51.456024 -18.357501))
15383;POLYGON((-51.837581 -16.657107, -51.373851 -16.657107, -51.373851 -16.029598, -51.837581 -16.029598, -51.837581 -16.657107))
15384;POLYGON((-55.413424 -2.168003, -54.85041 -2.168003, -54.85041 -1.399119, -55.413424 -1.399119, -55.413424 -2.168003))
15385;POLYGON((-38.047427 -6.211228, -37.937482 -6.211228, -37.937482 -6.075555, -38.047427 -6.075555, -38.047427 -6.211228))
15386;POLYGON((-38.367346 -6.201547, -38.249116 -6.201547, -38.249116 -6.065799, -38.367346 -6.065799, -38.367346 -6.201547))
15387;POLYGON((-42.174052 -19.920911, -42.075237 -19.920911, -42.075237 -19.829029, -42.174052 -19.829029, -42.174052 -19.920911))
15388;POLYGON((-41.689225 -12.168397, -41.354874 -12.168397, -41.354874 -11.832408, -41.689225 -11.832408, -41.689225 -12.168397))
15389;POLYGON((-52.335008 -29.872804, -52.120372 -29.872804, -52.120372 -29.666364, -52.335008 -29.666364, -52.335008 -29.872804))
15390;POLYGON((-50.685547 -20.772894, -50.476508 -20.772894, -50.476508 -20.50654, -50.685547 -20.50654, -50.685547 -20.772894))
15391;POLYGON((-46.357934 -20.867687, -46.128895 -20.867687, -46.128895 -20.652649, -46.357934 -20.652649, -46.357934 -20.867687))
15392;POLYGON((-42.975481 -5.704467, -42.734044 -5.704467, -42.734044 -5.501469, -42.975481 -5.501469, -42.975481 -5.704467))
15393;POLYGON((-40.217067 -16.464741, -40.01722 -16.464741, -40.01722 -16.126892, -40.217067 -16.126892, -40.217067 -16.464741))
15394;POLYGON((-46.949097 -15.870618, -46.248263 -15.870618, -46.248263 -15.009082, -46.949097 -15.009082, -46.949097 -15.870618))
15395;POLYGON((-39.479995 -13.527285, -38.920639 -13.527285, -38.920639 -13.198933, -39.479995 -13.198933, -39.479995 -13.527285))
15396;POLYGON((-40.505222 -14.521044, -40.03571 -14.521044, -40.03571 -14.223878, -40.505222 -14.223878, -40.505222 -14.521044))
15397;POLYGON((-61.52746 3.448456, -60.410235 3.448456, -60.410235 4.884623, -61.52746 4.884623, -61.52746 3.448456))
15398;POLYGON((-46.377608 -23.437278, -46.247678 -23.437278, -46.247678 -23.321401, -46.377608 -23.321401, -46.377608 -23.437278))
15399;POLYGON((-47.964763 -16.258153, -47.67707 -16.258153, -47.67707 -16.049848, -47.964763 -16.049848, -47.964763 -16.258153))
15400;POLYGON((-52.769567 -28.692771, -52.58874 -28.692771, -52.58874 -28.40403, -52.769567 -28.40403, -52.769567 -28.692771))
15401;POLYGON((-53.981597 -27.895279, -53.810682 -27.895279, -53.810682 -27.763003, -53.981597 -27.763003, -53.981597 -27.895279))
15404;POLYGON((-49.682838 -23.147975, -49.529134 -23.147975, -49.529134 -22.978228, -49.682838 -22.978228, -49.682838 -23.147975))
15405;POLYGON((-47.260795 -22.913343, -47.155716 -22.913343, -47.155716 -22.825593, -47.260795 -22.825593, -47.260795 -22.913343))
15406;POLYGON((-41.16254 -18.517453, -40.515409 -18.517453, -40.515409 -17.952047, -41.16254 -17.952047, -41.16254 -18.517453))
15408;POLYGON((-52.903716 -31.899999, -52.662026 -31.899999, -52.662026 -31.595407, -52.903716 -31.595407, -52.903716 -31.899999))
15409;POLYGON((-42.126619 -19.071583, -41.892177 -19.071583, -41.892177 -18.923106, -42.126619 -18.923106, -42.126619 -19.071583))
15410;POLYGON((-62.525259 -10.899388, -61.827813 -10.899388, -61.827813 -10.117045, -62.525259 -10.117045, -62.525259 -10.899388))
15411;POLYGON((-53.197493 -27.761194, -53.067903 -27.761194, -53.067903 -27.642614, -53.197493 -27.642614, -53.197493 -27.761194))
15412;POLYGON((-44.004114 -22.146399, -43.708484 -22.146399, -43.708484 -21.953527, -44.004114 -21.953527, -44.004114 -22.146399))
15413;POLYGON((-48.600831 -25.10082, -48.208636 -25.10082, -48.208636 -24.651633, -48.600831 -24.651633, -48.600831 -25.10082))
15414;POLYGON((-52.971235 -27.340405, -52.78209 -27.340405, -52.78209 -27.162841, -52.971235 -27.162841, -52.971235 -27.340405))
15415;POLYGON((-45.085127 -7.512582, -44.6858 -7.512582, -44.6858 -6.702817, -45.085127 -6.702817, -45.085127 -7.512582))
15416;POLYGON((-45.281676 -23.008001, -45.188421 -23.008001, -45.188421 -22.809858, -45.281676 -22.809858, -45.281676 -23.008001))
15417;POLYGON((-53.986061 -28.820006, -53.694646 -28.820006, -53.694646 -28.436608, -53.986061 -28.436608, -53.986061 -28.820006))
15419;POLYGON((-51.690773 -29.612958, -51.56975 -29.612958, -51.56975 -29.474308, -51.690773 -29.474308, -51.690773 -29.612958))
15420;POLYGON((-46.821827 -23.609067, -46.747045 -23.609067, -46.747045 -23.457985, -46.821827 -23.457985, -46.821827 -23.609067))
15421;POLYGON((-49.180114 -11.962459, -48.568939 -11.962459, -48.568939 -11.353833, -49.180114 -11.353833, -49.180114 -11.962459))
15422;POLYGON((-35.855742 -7.108597, -35.661834 -7.108597, -35.661834 -7.021532, -35.855742 -7.021532, -35.855742 -7.108597))
15423;POLYGON((-41.608064 -14.092031, -41.205145 -14.092031, -41.205145 -13.660178, -41.608064 -13.660178, -41.608064 -14.092031))
15424;POLYGON((-42.225832 -21.074796, -42.07987 -21.074796, -42.07987 -20.973695, -42.225832 -20.973695, -42.225832 -21.074796))
15425;POLYGON((-49.685114 -28.636678, -49.368769 -28.636678, -49.368769 -28.500921, -49.685114 -28.500921, -49.685114 -28.636678))
15426;POLYGON((-62.691317 -11.22477, -62.143976 -11.22477, -62.143976 -11.004977, -62.691317 -11.004977, -62.691317 -11.22477))
15427;POLYGON((-46.965401 -23.553318, -46.798735 -23.553318, -46.798735 -23.470356, -46.965401 -23.470356, -46.965401 -23.553318))
15428;POLYGON((-50.559987 -17.657032, -50.065235 -17.657032, -50.065235 -17.189021, -50.559987 -17.189021, -50.559987 -17.657032))
15429;POLYGON((-42.842318 -7.842508, -42.312097 -7.842508, -42.312097 -7.191356, -42.842318 -7.191356, -42.842318 -7.842508))
15432;POLYGON((-49.78201 -16.899389, -49.596779 -16.899389, -49.596779 -16.663017, -49.78201 -16.663017, -49.78201 -16.899389))
15433;POLYGON((-49.85047 -22.141974, -49.633629 -22.141974, -49.633629 -22.026211, -49.85047 -22.026211, -49.85047 -22.141974))
15434;POLYGON((-43.179366 -21.69469, -42.846703 -21.69469, -42.846703 -21.480565, -43.179366 -21.480565, -43.179366 -21.69469))
15435;POLYGON((-52.515961 -20.129376, -51.475616 -20.129376, -51.475616 -19.191205, -52.515961 -19.191205, -52.515961 -20.129376))
15436;POLYGON((-43.346699 -22.103328, -43.128353 -22.103328, -43.128353 -22.00344, -43.346699 -22.00344, -43.346699 -22.103328))
15438;POLYGON((-49.697264 -21.616551, -49.445451 -21.616551, -49.445451 -21.349199, -49.697264 -21.349199, -49.697264 -21.616551))
15439;POLYGON((-50.831685 -15.370199, -50.035701 -15.370199, -50.035701 -14.901894, -50.831685 -14.901894, -50.831685 -15.370199))
15440;POLYGON((-51.712217 -22.446932, -51.533681 -22.446932, -51.533681 -22.279978, -51.712217 -22.279978, -51.712217 -22.446932))
15441;POLYGON((-54.941613 -28.069142, -54.71772 -28.069142, -54.71772 -27.854806, -54.941613 -27.854806, -54.941613 -28.069142))
15442;POLYGON((-43.507909 -22.476229, -43.28843 -22.476229, -43.28843 -22.27872, -43.507909 -22.27872, -43.507909 -22.476229))
15443;POLYGON((-53.058579 -28.050268, -52.908802 -28.050268, -52.908802 -27.948248, -53.058579 -27.948248, -53.058579 -28.050268))
15444;POLYGON((-49.450494 -25.957161, -49.205238 -25.957161, -49.205238 -25.673491, -49.450494 -25.673491, -49.450494 -25.957161))
15445;POLYGON((-54.210552 -27.654275, -54.043674 -27.654275, -54.043674 -27.551143, -54.210552 -27.551143, -54.210552 -27.654275))
15446;POLYGON((-44.916583 -20.555576, -44.628135 -20.555576, -44.628135 -20.249313, -44.916583 -20.249313, -44.916583 -20.555576))
15447;POLYGON((-48.383655 -20.931565, -47.960584 -20.931565, -47.960584 -20.44963, -48.383655 -20.44963, -48.383655 -20.931565))
15448;POLYGON((-44.450391 -4.845471, -44.196051 -4.845471, -44.196051 -4.527628, -44.450391 -4.527628, -44.450391 -4.845471))
15449;POLYGON((-47.435368 -18.763184, -46.795036 -18.763184, -46.795036 -17.923278, -47.435368 -17.923278, -47.435368 -18.763184))
15450;POLYGON((-46.428875 -23.774064, -46.323673 -23.774064, -46.323673 -23.702223, -46.428875 -23.702223, -46.428875 -23.774064))
15454;POLYGON((-35.870546 -6.418614, -35.643226 -6.418614, -35.643226 -6.182675, -35.870546 -6.182675, -35.870546 -6.418614))
15455;POLYGON((-51.896006 -24.175266, -51.669807 -24.175266, -51.669807 -23.976407, -51.896006 -23.976407, -51.896006 -24.175266))
